Metric,Value
Total Matches,0
Prediction Accuracy,0.0000
Total Bets,0
Winning Bets,0
Win Rate,0.0000
Total Wagered,0.00
Total Returns,0.00
Profit/Loss,0.00
ROI,0.0000
Initial Bankroll,1000.00
Final Bankroll,1000.00
