Metric,Value
Total Matches,836
Prediction Accuracy,0.4354
Total Bets,2257
Winning Bets,908
Win Rate,0.4023
Total Wagered,6574428011975.88
Total Returns,10651012219598.18
Profit/Loss,4076584207622.31
ROI,0.6201
Initial Bankroll,1000.00
Final Bankroll,4076584208622.30
