Metric,Value
Total Matches,1531
Prediction Accuracy,0.4141
Total Bets,5940
Winning Bets,2761
Win Rate,0.4648
Total Wagered,5773300972023137682286180620039236264645302943744.00
Total Returns,10354099704456561151176594636509160129997026885632.00
Profit/Loss,4580798732433423468890414016469923865351723941888.00
ROI,0.7934
Initial Bankroll,1000.00
Final Bankroll,4580798732433422819853306699616470299039682789376.00
