Metric,Value
Total Matches,836
Prediction Accuracy,0.4354
Total Bets,2225
Winning Bets,875
Win Rate,0.3933
Total Wagered,244423.31
Total Returns,390322.75
Profit/Loss,145899.44
ROI,0.5969
Initial Bankroll,1000.00
Final Bankroll,146899.44
