Metric,Value
Total Matches,834
Prediction Accuracy,0.4365
Total Bets,1403
Winning Bets,775
Win Rate,0.5524
Total Wagered,4003027.74
Total Returns,5880505.67
Profit/Loss,1877477.93
ROI,0.4690
Initial Bankroll,1000.00
Final Bankroll,1878477.93
