feature_name,fold_1_importance,fold_2_importance,fold_3_importance,fold_4_importance,fold_5_importance,fold_6_importance,fold_7_importance,fold_8_importance,fold_9_importance,fold_10_importance,avg_importance,std_importance
h2h_win_rate,0.12036874707807388,0.1540001168770453,0.07747487143525011,0.06292367928938758,0.19037809724170163,0.1434373539036934,0.16947708578143383,0.13777248957048005,0.11745695986838245,0.1504201186908748,0.1323709519736323,0.037269172980673775
h2h_score_diff,0.037429873772791056,0.01290030388031782,0.03250642823749428,0.01170231416549794,0.024675666199158286,-0.001972300140252514,0.0173766157461811,0.028145014395675405,0.03825136612021862,0.024090722134085363,0.022510600451116736,0.0120172833081536
h2h_advantage_team1,-0.0026735624123422896,0.0011833800841515307,0.023463066853669945,0.028108929406264527,0.0021768349696118516,0.0058292426367462236,0.004509400705053013,0.006580880192725735,0.009504083671191044,0.011957224278747236,0.009063948038581881,0.009291331338378105
win_rate_diff,0.00170932678821889,-0.0008619682094436198,-0.003915381019167885,0.00016070593735384442,0.0038861617578307417,0.0036816269284712932,-0.00248237367802584,-0.0006169575180681175,0.0005288207297727832,-0.00026441036488622505,0.00018255513520558652,0.002328874584920791
h2h_x_win_rate,0.0024105890603085545,-0.0036670172978028326,-0.0063697989714819325,0.007275596072931156,0.0007743104254324118,0.004806568489948537,-0.0006316098707404016,0.0016892884423289622,-0.005817028027498727,-0.0014542570068747374,-9.833586834490093e-05,0.004190201134456782
icebox_atk_win_rate_diff,0.007597007947639178,-0.0032287283777466813,0.0023521505376344898,-0.003944600280505028,-0.001621669004207682,-0.0024982468443198735,0.0070945945945948274,-0.005831717492214561,-0.0028056877607379738,-0.0008079205593747307,-0.0003694817239238035,0.00435435875004931
pistol_x_eco,-0.00010226741467977973,-0.001621669004207571,-0.0017239364188873507,0.0008619682094436198,-0.0015632304815335063,-0.0034478728377745904,-0.0015129259694475206,-0.0009107468123862317,-0.0003966155473293931,0.0003231682237498923,-0.0010094128053052432,0.0011780380223495835
pistol_x_full_buy,-0.0007450911640953795,-0.0016801075268818577,-0.003243338008415142,0.0005551659654043917,-0.0022791023842918534,-0.0019284712482469102,0.00016157461809640505,0.00038192608261355954,-0.000866678418238398,-0.0007785416299430636,-0.0010422663713998248,0.0011740835751576698
avg_score_diff,-0.0006574333800841714,-0.0005259467040673593,-0.005683146330060729,0.003929990649836235,-0.0026005142589997643,-0.0014901823281906479,-0.002511750881316055,-0.0025559668605676933,0.0029525824078970864,-0.001968388271931465,-0.0011110755957484564,0.002655643041447759
win_loss_ratio_diff,0.0013879149135109792,7.304815334263637e-05,-0.006136044880785452,0.0007743104254324118,-0.00017531556802252712,-0.0022791023842917424,0.001336662749706341,-0.0031141665197720325,-0.0013367412891474029,-0.001733356836477018,-0.0011202791236503806,0.002216599669480283
total_matches,-0.001534011220196252,-0.00170932678821889,-0.007012622720897532,0.00387155212716217,-0.004733520336606123,-0.005639317438055236,-0.0026880141010574565,0.00436277102062399,-0.0035548504612492593,0.004098360655737654,-0.0014538979262756935,0.003977479334801698
rating_x_win_rate,-0.0003068022440393392,-0.0035793595137915135,-0.0008765778401121915,-0.002834268349696245,-0.0004382889200562623,-0.001796984572229987,-0.000749118683901262,-0.0013514307538633474,-0.0001468946471591126,-0.0028203772254539183,-0.001490010275030318,0.0011528660843038632
first_blood_x_win_rate,-0.00042367928938746857,-0.0005989948574099957,-0.005142589995324909,-0.0004236792893876906,-0.0018992519869097668,0.0018408134642357021,-0.000749118683901151,-0.0004700628709091159,-0.002497209001703915,-0.005435101944885057,-0.0015798874455583366,0.0021391088739930136
player_rating_diff,-0.003929990649836346,-0.00039446002805054725,-0.007246376811594235,-0.0015194015895279023,-0.0018992519869098778,0.0014463534361851549,-0.001659811985898929,-0.0009107468123862317,-0.0011898466419884013,0.0007785416299430636,-0.0016524991440064253,0.0023327418021705324
split_win_rate_diff,-0.0019430808789154819,-0.0017677653108930658,-0.0015486208508648236,-0.006793478260869623,0.0009057971014491129,-0.0027320009350163543,-0.0013219741480610114,0.0016452200481813506,-0.0021740407779540227,-0.0035842293906811484,-0.0019314173403625068,0.0022013227222001846
kd_diff,-0.00387155212716217,-0.003783894343151073,-0.004777349228611505,0.005639317438055125,-0.0026297335203366856,-0.00365240766713415,-0.0009694477085779862,0.0006757153769315627,-0.002394382748692525,-0.003804571361419651,-0.0019568305890099056,0.0029580350205578388
avg_headshot,-0.0016947171575503184,-0.0013586956521739468,-0.003418653576437669,-0.004412108461898101,0.00048211781206153326,-0.0027612201963532756,-0.002056404230317166,-0.0032757506316469787,-0.00011751571772711245,-0.0010429519948292887,-0.001965589980687232,0.0014544499880327205
economy_efficiency_diff,0.0018554230949041628,-0.00162166900420746,-0.006676601215521272,-0.002527466105656906,-0.0012272089761571348,-0.0018115942028985588,-0.0018801410105756533,-0.00038192608261367056,-0.006595569657441569,0.0006757153769316737,-0.0020191037783236386,0.002621002419045027
icebox_def_win_rate_diff,-0.00020453482935955947,-0.00224988312295471,-0.0069103553062177525,-0.002074567554932294,1.4609630668349638e-05,0.00018992519869098778,0.0001468860164512975,-0.0026147247194313605,-0.0027763088313060846,-0.0037164345731243165,-0.0020195388091515444,0.0021163577696263246
acs_diff,-0.003608578775128657,-0.0012710378681626278,-0.0030388031790556935,-0.005011103319308208,-0.0004382889200561513,-0.0002629733520337352,-0.0012632197414804702,-0.0007491627005112855,-0.0029819613373289755,-0.0030407191961924207,-0.0021665848389258225,0.0015032713763537817
