Metric,Value
Total Matches,917
Prediction Accuracy,0.5932
Total Bets,2116
Winning Bets,748
Win Rate,0.3535
Total Wagered,25667098.60
Total Returns,35733210.70
Profit/Loss,10066112.10
ROI,0.3922
Initial Bankroll,1000.00
Final Bankroll,10067112.10
