Metric,Value
Total Matches,831
Prediction Accuracy,0.4958
Total Bets,92
Winning Bets,22
Win Rate,0.2391
Total Wagered,968.55
Total Returns,1255.54
Profit/Loss,286.99
ROI,0.2963
Initial Bankroll,1000.00
Final Bankroll,1286.99
