Metric,Value
Total Matches,2
Prediction Accuracy,0.0000
Total Bets,3
Winning Bets,3
Win Rate,1.0000
Total Wagered,76.69
Total Returns,680.03
Profit/Loss,603.34
ROI,7.8673
Initial Bankroll,1000.00
Final Bankroll,1603.34
