Metric,Value
Total Matches,831
Prediction Accuracy,0.5764
Total Bets,2235
Winning Bets,956
Win Rate,0.4277
Total Wagered,75685648548035.88
Total Returns,114940604792041.11
Profit/Loss,39254956244005.23
ROI,0.5187
Initial Bankroll,77.00
Final Bankroll,39254956244082.15
Bet Diversity Score,0.6250
Bet Balance Score,0.9550
Max Drawdown Amount,2162410996.07
Max Drawdown Percentage,0.4068
