Metric,Value
Total Matches,835
Prediction Accuracy,0.4359
Total Bets,2154
Winning Bets,1153
Win Rate,0.5353
Total Wagered,178773570568.12
Total Returns,248352805578.67
Profit/Loss,69579235010.55
ROI,0.3892
Initial Bankroll,1000.00
Final Bankroll,69579236010.55
