Metric,Value
Total Matches,28
Prediction Accuracy,0.6786
Total Bets,74
Winning Bets,26
Win Rate,0.3514
Total Wagered,1253.82
Total Returns,1790.10
Profit/Loss,536.28
ROI,0.4277
Initial Bankroll,1000.00
Final Bankroll,1536.28
