Metric,Value
Total Matches,831
Prediction Accuracy,0.4452
Total Bets,2255
Winning Bets,915
Win Rate,0.4058
Total Wagered,1279710.00
Total Returns,1595903.21
Profit/Loss,316193.21
ROI,0.2471
Initial Bankroll,1000.00
Final Bankroll,317193.21
Bet Diversity Score,0.7500
Bet Balance Score,0.9633
Max Drawdown Amount,32052.23
Max Drawdown Percentage,0.2154
