Metric,Value
Total Matches,831
Prediction Accuracy,0.4465
Total Bets,2220
Winning Bets,861
Win Rate,0.3878
Total Wagered,1117053.62
Total Returns,1410025.58
Profit/Loss,292971.96
ROI,0.2623
Initial Bankroll,1000.00
Final Bankroll,293971.96
