Metric,Value
Total Matches,831
Prediction Accuracy,0.5764
Total Bets,395
Winning Bets,88
Win Rate,0.2228
Total Wagered,5616.33
Total Returns,7094.17
Profit/Loss,1477.84
ROI,0.2631
Initial Bankroll,1000.00
Final Bankroll,2477.84
