Metric,Value
Total Matches,831
Prediction Accuracy,0.5764
Total Bets,2274
Winning Bets,999
Win Rate,0.4393
Total Wagered,162770328562559.56
Total Returns,250109737218739.25
Profit/Loss,87339408656179.69
ROI,0.5366
Initial Bankroll,100.00
Final Bankroll,87339408656279.69
Bet Diversity Score,0.6250
Bet Balance Score,0.9555
Max Drawdown Amount,3363424144.66
Max Drawdown Percentage,0.3812
