Metric,Value
Total Matches,963
Prediction Accuracy,0.5971
Total Bets,2236
Winning Bets,799
Win Rate,0.3573
Total Wagered,26195408.11
Total Returns,36200653.29
Profit/Loss,10005245.18
ROI,0.3819
Initial Bankroll,1000.00
Final Bankroll,10006245.18
