Metric,Value
Total Matches,835
Prediction Accuracy,0.4359
Total Bets,1372
Winning Bets,754
Win Rate,0.5496
Total Wagered,161725.38
Total Returns,224688.87
Profit/Loss,62963.49
ROI,0.3893
Initial Bankroll,1000.00
Final Bankroll,63963.49
