Metric,Value
Total Matches,25
Prediction Accuracy,0.3600
Total Bets,5
Winning Bets,3
Win Rate,0.6000
Total Wagered,5.41
Total Returns,4.80
Profit/Loss,-0.61
ROI,-0.1119
Initial Bankroll,77.00
Final Bankroll,76.39
Bet Diversity Score,0.2500
Bet Balance Score,0.9464
Max Drawdown Amount,2.01
Max Drawdown Percentage,0.0256
