Metric,Value
Total Matches,835
Prediction Accuracy,0.4359
Total Bets,1428
Winning Bets,776
Win Rate,0.5434
Total Wagered,340899.15
Total Returns,479538.57
Profit/Loss,138639.42
ROI,0.4067
Initial Bankroll,100.00
Final Bankroll,138739.42
