Metric,Value
Total Matches,836
Prediction Accuracy,0.4354
Total Bets,1798
Winning Bets,790
Win Rate,0.4394
Total Wagered,312319.23
Total Returns,531500.24
Profit/Loss,219181.01
ROI,0.7018
Initial Bankroll,1000.00
Final Bankroll,220181.01
