Metric,Value
Total Matches,1519
Prediction Accuracy,0.4259
Total Bets,3189
Winning Bets,1380
Win Rate,0.4327
Total Wagered,5267559.08
Total Returns,7138685.09
Profit/Loss,1871126.01
ROI,0.3552
Initial Bankroll,77.00
Final Bankroll,1871203.01
Bet Diversity Score,0.7500
Bet Balance Score,0.9672
Max Drawdown Amount,414.87
Max Drawdown Percentage,0.1292
