Metric,Value
Total Matches,836
Prediction Accuracy,0.4354
Total Bets,2211
Winning Bets,869
Win Rate,0.3930
Total Wagered,31337224.36
Total Returns,48086134.55
Profit/Loss,16748910.19
ROI,0.5345
Initial Bankroll,1000.00
Final Bankroll,16749910.19
