Metric,Value
Total Matches,831
Prediction Accuracy,0.4465
Total Bets,2313
Winning Bets,875
Win Rate,0.3783
Total Wagered,836823.77
Total Returns,1008273.14
Profit/Loss,171449.37
ROI,0.2049
Initial Bankroll,1000.00
Final Bankroll,172449.37
